"","Date","Open","High","Low","Close","Volume"
"102",1939-06-01,34.98,34.98,34.98,34.98,NA
"103",1939-09-01,34.98,44.96,34.98,44.96,NA
"104",1939-12-01,44.96,44.96,44.96,44.96,NA
"105",1940-03-01,44.96,44.96,43.57,43.57,NA
"106",1940-06-01,43.57,45.02,43.57,45.02,NA
"107",1940-09-01,45.02,45.02,35.74,35.74,NA
"108",1940-12-01,35.74,37.42,35.74,37.42,NA
"109",1941-03-01,37.42,37.42,37.23,37.23,NA
"110",1941-06-01,37.23,37.23,35.67,35.67,NA
"111",1941-09-01,35.67,42.44,35.67,42.44,NA
"112",1941-12-01,42.44,42.44,42.44,42.44,NA
"113",1942-03-01,42.44,42.44,42.31,42.31,NA
"114",1942-06-01,42.31,42.31,41.72,41.72,NA
"115",1942-09-01,41.72,45.09,41.72,45.09,NA
"116",1942-12-01,45.09,45.09,42.71,42.71,NA
"117",1943-03-01,42.71,43.87,42.71,43.87,NA
"118",1943-06-01,43.87,43.87,43.87,43.87,NA
"119",1943-09-01,43.87,43.87,42.11,42.11,NA
"120",1943-12-01,42.11,42.11,42.11,42.11,NA
"121",1944-03-01,42.11,42.58,42.11,42.58,NA
"122",1944-06-01,42.58,42.71,42.58,42.71,NA
"123",1944-09-01,42.71,42.71,38.38,38.38,NA
"124",1944-12-01,38.38,41.82,38.38,41.82,NA
"125",1945-03-01,41.82,41.98,41.82,41.98,NA
"126",1945-06-01,41.98,41.98,41.98,41.98,NA
"127",1945-09-01,41.98,41.98,39.54,39.54,NA
"128",1945-12-01,39.54,40.53,39.54,40.53,NA
"129",1946-03-01,40.53,40.53,40.53,40.53,NA
"130",1946-06-01,40.53,40.53,39.75,39.75,NA
"131",1946-09-01,39.75,39.75,26.95,26.95,NA
"132",1946-12-01,26.95,28.72,26.95,28.72,NA
"133",1947-03-01,28.72,29.1,28.72,29.1,NA
"134",1947-06-01,29.1,29.1,28.42,28.42,NA
"135",1947-09-01,28.42,43.41,28.42,43.41,NA
"136",1947-12-01,43.41,43.41,39.31,39.31,NA
"137",1948-03-01,39.31,39.31,39.31,39.31,NA
"138",1948-06-01,39.31,40.86,39.31,40.86,NA
"139",1948-09-01,40.86,104.98,40.86,104.98,NA
"140",1948-12-01,104.98,104.98,72.84,72.84,NA
"141",1949-03-01,72.84,121.14,72.84,121.14,NA
"142",1949-05-01,121.14,176.21,121.14,176.21,NA
"143",1949-05-16,176.21,176.21,176.21,176.21,NA
"144",1949-05-17,174.8,174.8,174.8,174.8,NA
"145",1949-05-18,172.53,172.53,172.53,172.53,NA
"146",1949-05-19,171.34,171.34,171.34,171.34,NA
"147",1949-05-20,169.2,169.2,169.2,169.2,NA
"148",1949-05-21,169.92,169.92,169.92,169.92,NA
"149",1949-05-23,171.85,171.85,171.85,171.85,NA
"150",1949-05-24,172.75,172.75,172.75,172.75,NA
"151",1949-05-25,171.53,171.53,171.53,171.53,NA
"152",1949-05-26,170.43,170.43,170.43,170.43,NA
"153",1949-05-27,172.76,172.76,172.76,172.76,NA
"154",1949-05-28,176.3,176.3,176.3,176.3,NA
"155",1949-05-30,176.21,176.21,176.21,176.21,NA
"156",1949-05-31,176.52,176.52,176.52,176.52,NA
"157",1949-06-01,175.97,175.97,175.97,175.97,NA
"158",1949-06-02,174.76,174.76,174.76,174.76,NA
"159",1949-06-03,175.48,175.48,175.48,175.48,NA
"160",1949-06-04,175.98,175.98,175.98,175.98,NA
"161",1949-06-06,174.92,174.92,174.92,174.92,NA
"162",1949-06-07,173.83,173.83,173.83,173.83,NA
"163",1949-06-08,171.53,171.53,171.53,171.53,NA
"164",1949-06-09,170.15,170.15,170.15,170.15,NA
"165",1949-06-10,167.98,167.98,167.98,167.98,NA
"166",1949-06-11,167.86,167.86,167.86,167.86,NA
"167",1949-06-13,165.27,165.27,165.27,165.27,NA
"168",1949-06-14,158.98,158.98,158.98,158.98,NA
"169",1949-06-15,153.81,153.81,153.81,153.81,NA
"170",1949-06-16,157.8,157.8,157.8,157.8,NA
"171",1949-06-17,160.13,160.13,160.13,160.13,NA
"172",1949-06-18,160.42,160.42,160.42,160.42,NA
"173",1949-06-20,155.45,155.45,155.45,155.45,NA
"174",1949-06-21,152.99,152.99,152.99,152.99,NA
"175",1949-06-22,155.01,155.01,155.01,155.01,NA
"176",1949-06-23,155.76,155.76,155.76,155.76,NA
"177",1949-06-24,154.04,154.04,154.04,154.04,NA
"178",1949-06-25,153.35,153.35,153.35,153.35,NA
"179",1949-06-27,150.58,150.58,150.58,150.58,NA
"180",1949-06-28,147.13,147.13,147.13,147.13,NA
"181",1949-06-29,146.14,146.14,146.14,146.14,NA
"182",1949-06-30,146.92,146.92,146.92,146.92,NA
"183",1949-07-01,147.37,147.37,147.37,147.37,NA
"184",1949-07-02,150,150,150,150,NA
"185",1949-07-04,149.14,149.14,149.14,149.14,NA
"186",1949-07-05,146.52,146.52,146.52,146.52,NA
"187",1949-07-06,144.18,144.18,144.18,144.18,NA
"188",1949-07-07,143.66,143.66,143.66,143.66,NA
"189",1949-07-08,142.16,142.16,142.16,142.16,NA
"190",1949-07-09,140.03,140.03,140.03,140.03,NA
"191",1949-07-11,135.84,135.84,135.84,135.84,NA
"192",1949-07-12,134.8,134.8,134.8,134.8,NA
"193",1949-07-13,140.02,140.02,140.02,140.02,NA
"194",1949-07-14,141.28,141.28,141.28,141.28,NA
"195",1949-07-15,142.29,142.29,142.29,142.29,NA
"196",1949-07-16,144.89,144.89,144.89,144.89,NA
"197",1949-07-18,147.23,147.23,147.23,147.23,NA
"198",1949-07-19,148.55,148.55,148.55,148.55,NA
"199",1949-07-20,147.09,147.09,147.09,147.09,NA
"200",1949-07-21,145.97,145.97,145.97,145.97,NA
"201",1949-07-22,145.67,145.67,145.67,145.67,NA
"202",1949-07-23,146.5,146.5,146.5,146.5,NA
"203",1949-07-25,144.88,144.88,144.88,144.88,NA
"204",1949-07-26,144.66,144.66,144.66,144.66,NA
"205",1949-07-27,145.47,145.47,145.47,145.47,NA
"206",1949-07-28,145.51,145.51,145.51,145.51,NA
"207",1949-07-29,144.59,144.59,144.59,144.59,NA
"208",1949-07-30,144.86,144.86,144.86,144.86,NA
"209",1949-08-01,109.91,176.52,109.91,176.52,NA
"210",1949-08-02,150,150,150,150,NA
"211",1949-08-03,154.46,154.46,154.46,154.46,NA
"212",1949-08-04,155.57,155.57,155.57,155.57,NA
"213",1949-08-05,154.24,154.24,154.24,154.24,NA
"214",1949-08-06,156.26,156.26,156.26,156.26,NA
"215",1949-08-08,156.46,156.46,156.46,156.46,NA
"216",1949-08-09,157.68,157.68,157.68,157.68,NA
"217",1949-08-10,159.3,159.3,159.3,159.3,NA
"218",1949-08-11,162.75,162.75,162.75,162.75,NA
"219",1949-08-12,164.73,164.73,164.73,164.73,NA
"220",1949-08-13,162.49,162.49,162.49,162.49,NA
"221",1949-08-15,159,159,159,159,NA
"222",1949-08-16,159.14,159.14,159.14,159.14,NA
"223",1949-08-17,158.23,158.23,158.23,158.23,NA
"224",1949-08-18,158.17,158.17,158.17,158.17,NA
"225",1949-08-19,158.81,158.81,158.81,158.81,NA
"226",1949-08-20,160.04,160.04,160.04,160.04,NA
"227",1949-08-22,160.51,160.51,160.51,160.51,NA
"228",1949-08-23,162.02,162.02,162.02,162.02,NA
"229",1949-08-24,164.34,164.34,164.34,164.34,NA
"230",1949-08-25,167.64,167.64,167.64,167.64,NA
"231",1949-08-26,173.2,173.2,173.2,173.2,NA
"232",1949-08-27,176.27,176.27,176.27,176.27,NA
"233",1949-08-29,173.22,173.22,173.22,173.22,NA
"234",1949-08-30,174.1,174.1,174.1,174.1,NA
"235",1949-08-31,175.18,175.18,175.18,175.18,NA
"236",1949-09-01,176.89,176.89,176.89,176.89,NA
"237",1949-09-02,173,173,173,173,NA
"238",1949-09-03,171.57,171.57,171.57,171.57,NA
"239",1949-09-05,172.21,172.21,172.21,172.21,NA
"240",1949-09-06,172.41,172.41,172.41,172.41,NA
"241",1949-09-07,171.89,171.89,171.89,171.89,NA
"242",1949-09-08,170.11,170.11,170.11,170.11,NA
"243",1949-09-09,168.86,168.86,168.86,168.86,NA
"244",1949-09-10,170.7,170.7,170.7,170.7,NA
"245",1949-09-12,172.23,172.23,172.23,172.23,NA
"246",1949-09-13,171.25,171.25,171.25,171.25,NA
"247",1949-09-14,169.87,169.87,169.87,169.87,NA
"248",1949-09-15,168.3,168.3,168.3,168.3,NA
"249",1949-09-16,162.54,162.54,162.54,162.54,NA
"250",1949-09-17,164.95,164.95,164.95,164.95,NA
"251",1949-09-19,167.07,167.07,167.07,167.07,NA
"252",1949-09-20,163.94,163.94,163.94,163.94,NA
"253",1949-09-21,162.22,162.22,162.22,162.22,NA
"254",1949-09-22,163,163,163,163,NA
"255",1949-09-24,163.98,163.98,163.98,163.98,NA
"256",1949-09-26,162.49,162.49,162.49,162.49,NA
"257",1949-09-27,160.41,160.41,160.41,160.41,NA
"258",1949-09-28,160.61,160.61,160.61,160.61,NA
"259",1949-09-29,162.07,162.07,162.07,162.07,NA
"260",1949-09-30,163.29,163.29,163.29,163.29,NA
"261",1949-10-01,162.95,162.95,162.95,162.95,NA
"262",1949-10-03,160.72,160.72,160.72,160.72,NA
"263",1949-10-04,153.7,153.7,153.7,153.7,NA
"264",1949-10-05,153,153,153,153,NA
"265",1949-10-06,153.4,153.4,153.4,153.4,NA
"266",1949-10-07,156.84,156.84,156.84,156.84,NA
"267",1949-10-08,158.7,158.7,158.7,158.7,NA
"268",1949-10-10,154.16,154.16,154.16,154.16,NA
"269",1949-10-11,151.87,151.87,151.87,151.87,NA
"270",1949-10-12,150.42,150.42,150.42,150.42,NA
"271",1949-10-13,147.66,147.66,147.66,147.66,NA
"272",1949-10-14,146.97,146.97,146.97,146.97,NA
"273",1949-10-15,149.62,149.62,149.62,149.62,NA
"274",1949-10-17,144.44,144.44,144.44,144.44,NA
"275",1949-10-18,143.45,143.45,143.45,143.45,NA
"276",1949-10-19,142.45,142.45,142.45,142.45,NA
"277",1949-10-20,140.24,140.24,140.24,140.24,NA
"278",1949-10-21,138.06,138.06,138.06,138.06,NA
"279",1949-10-22,137.92,137.92,137.92,137.92,NA
"280",1949-10-24,135.94,135.94,135.94,135.94,NA
"281",1949-10-25,131.09,131.09,131.09,131.09,NA
"282",1949-10-26,133.79,133.79,133.79,133.79,NA
"283",1949-10-27,138.5,138.5,138.5,138.5,NA
"284",1949-10-28,143.31,143.31,143.31,143.31,NA
"285",1949-10-29,144.45,144.45,144.45,144.45,NA
"286",1949-10-31,141.54,141.54,141.54,141.54,NA
"287",1949-11-01,138.86,138.86,138.86,138.86,NA
"288",1949-11-02,137.78,137.78,137.78,137.78,NA
"289",1949-11-04,138.06,138.06,138.06,138.06,NA
"290",1949-11-05,137.03,137.03,137.03,137.03,NA
"291",1949-11-07,135.97,135.97,135.97,135.97,NA
"292",1949-11-08,133.41,133.41,133.41,133.41,NA
"293",1949-11-09,132.94,132.94,132.94,132.94,NA
"294",1949-11-10,136.57,136.57,136.57,136.57,NA
"295",1949-11-11,140.33,140.33,140.33,140.33,NA
"296",1949-11-12,140.67,140.67,140.67,140.67,NA
"297",1949-11-14,140.02,140.02,140.02,140.02,NA
"298",1949-11-15,138.37,138.37,138.37,138.37,NA
"299",1949-11-16,136.49,136.49,136.49,136.49,NA
"300",1949-11-17,135.32,135.32,135.32,135.32,NA
"301",1949-11-18,135.32,135.32,135.32,135.32,NA
"302",1949-11-19,134.55,134.55,134.55,134.55,NA
"303",1949-11-21,131.3,131.3,131.3,131.3,NA
"304",1949-11-22,130.38,130.38,130.38,130.38,NA
"305",1949-11-24,128.91,128.91,128.91,128.91,NA
"306",1949-11-25,126.41,126.41,126.41,126.41,NA
"307",1949-11-26,125.97,125.97,125.97,125.97,NA
"308",1949-11-28,122.01,122.01,122.01,122.01,NA
"309",1949-11-29,118.4,118.4,118.4,118.4,NA
"310",1949-11-30,122.84,122.84,122.84,122.84,NA
"311",1949-12-01,176.52,176.52,109.91,109.91,NA
"312",1949-12-02,122.53,122.53,122.53,122.53,NA
"313",1949-12-03,121,121,121,121,NA
"314",1949-12-05,120.92,120.92,120.92,120.92,NA
"315",1949-12-06,120.07,120.07,120.07,120.07,NA
"316",1949-12-07,117.39,117.39,117.39,117.39,NA
"317",1949-12-08,111.99,111.99,111.99,111.99,NA
"318",1949-12-09,112.14,112.14,112.14,112.14,NA
"319",1949-12-10,112.01,112.01,112.01,112.01,NA
"320",1949-12-12,110.32,110.32,110.32,110.32,NA
"321",1949-12-13,105.88,105.88,105.88,105.88,NA
"322",1949-12-14,98.5,98.5,98.5,98.5,NA
"323",1949-12-15,109.62,109.62,109.62,109.62,NA
"324",1949-12-16,110.96,110.96,110.96,110.96,NA
"325",1949-12-17,110.67,110.67,110.67,110.67,NA
"326",1949-12-19,108.46,108.46,108.46,108.46,NA
"327",1949-12-20,104.14,104.14,104.14,104.14,NA
"328",1949-12-21,107.69,107.69,107.69,107.69,NA
"329",1949-12-22,107.7,107.7,107.7,107.7,NA
"330",1949-12-23,107.11,107.11,107.11,107.11,NA
"331",1949-12-24,109.35,109.35,109.35,109.35,NA
"332",1949-12-26,110.24,110.24,110.24,110.24,NA
"333",1949-12-27,108.6,108.6,108.6,108.6,NA
"334",1949-12-28,109.91,109.91,109.91,109.91,NA
"335",1950-01-04,108.56,108.56,108.56,108.56,NA
"336",1950-01-05,105.54,105.54,105.54,105.54,NA
"337",1950-01-06,102.64,102.64,102.64,102.64,NA
"338",1950-01-07,102.95,102.95,102.95,102.95,NA
"339",1950-01-09,102.78,102.78,102.78,102.78,NA
"340",1950-01-10,101.36,101.36,101.36,101.36,NA
"341",1950-01-11,99.36,99.36,99.36,99.36,NA
"342",1950-01-12,97.48,97.48,97.48,97.48,NA
"343",1950-01-13,95.04,95.04,95.04,95.04,NA
"344",1950-01-14,96.89,96.89,96.89,96.89,NA
"345",1950-01-16,96.2,96.2,96.2,96.2,NA
"346",1950-01-17,95.27,95.27,95.27,95.27,NA
"347",1950-01-18,97.15,97.15,97.15,97.15,NA
"348",1950-01-19,98.9,98.9,98.9,98.9,NA
"349",1950-01-20,98.05,98.05,98.05,98.05,NA
"350",1950-01-21,98.25,98.25,98.25,98.25,NA
"351",1950-01-23,97.1,97.1,97.1,97.1,NA
"352",1950-01-24,97.12,97.12,97.12,97.12,NA
"353",1950-01-25,96.51,96.51,96.51,96.51,NA
"354",1950-01-26,95.45,95.45,95.45,95.45,NA
"355",1950-01-27,94.85,94.85,94.85,94.85,NA
"356",1950-01-28,94.82,94.82,94.82,94.82,NA
"357",1950-01-30,93.14,93.14,93.14,93.14,NA
"358",1950-01-31,92.54,92.54,92.54,92.54,NA
"359",1950-02-01,92.56,92.56,92.56,92.56,NA
"360",1950-02-02,95.96,95.96,95.96,95.96,NA
"361",1950-02-03,96.11,96.11,96.11,96.11,NA
"362",1950-02-04,97.45,97.45,97.45,97.45,NA
"363",1950-02-06,101.71,101.71,101.71,101.71,NA
"364",1950-02-07,105.06,105.06,105.06,105.06,NA
"365",1950-02-08,107.25,107.25,107.25,107.25,NA
"366",1950-02-09,107.01,107.01,107.01,107.01,NA
"367",1950-02-10,106.54,106.54,106.54,106.54,NA
"368",1950-02-11,107.16,107.16,107.16,107.16,NA
"369",1950-02-13,112.94,112.94,112.94,112.94,NA
"370",1950-02-14,113.4,113.4,113.4,113.4,NA
"371",1950-02-15,110.53,110.53,110.53,110.53,NA
"372",1950-02-16,109.6,109.6,109.6,109.6,NA
"373",1950-02-17,110.25,110.25,110.25,110.25,NA
"374",1950-02-18,111.21,111.21,111.21,111.21,NA
"375",1950-02-20,109.73,109.73,109.73,109.73,NA
"376",1950-02-21,108.38,108.38,108.38,108.38,NA
"377",1950-02-22,106.62,106.62,106.62,106.62,NA
"378",1950-02-23,106.83,106.83,106.83,106.83,NA
"379",1950-02-24,107.01,107.01,107.01,107.01,NA
"380",1950-02-25,107.09,107.09,107.09,107.09,NA
"381",1950-02-27,108.27,108.27,108.27,108.27,NA
"382",1950-02-28,107.44,107.44,107.44,107.44,NA
"383",1950-03-01,108.19,108.19,108.19,108.19,NA
"384",1950-03-02,108.15,108.15,108.15,108.15,NA
"385",1950-03-03,106.65,106.65,106.65,106.65,NA
"386",1950-03-04,105.52,105.52,105.52,105.52,NA
"387",1950-03-06,104.43,104.43,104.43,104.43,NA
"388",1950-03-07,102.83,102.83,102.83,102.83,NA
"389",1950-03-08,102.93,102.93,102.93,102.93,NA
"390",1950-03-09,101.71,101.71,101.71,101.71,NA
"391",1950-03-10,101.23,101.23,101.23,101.23,NA
"392",1950-03-11,102.16,102.16,102.16,102.16,NA
"393",1950-03-13,102.61,102.61,102.61,102.61,NA
"394",1950-03-14,102.21,102.21,102.21,102.21,NA
"395",1950-03-15,101.52,101.52,101.52,101.52,NA
"396",1950-03-16,101.07,101.07,101.07,101.07,NA
"397",1950-03-17,101.12,101.12,101.12,101.12,NA
"398",1950-03-18,101.4,101.4,101.4,101.4,NA
"399",1950-03-20,100.61,100.61,100.61,100.61,NA
"400",1950-03-22,99.84,99.84,99.84,99.84,NA
"401",1950-03-23,99.22,99.22,99.22,99.22,NA
"402",1950-03-24,99.02,99.02,99.02,99.02,NA
"403",1950-03-25,99.97,99.97,99.97,99.97,NA
"404",1950-03-27,99.9,99.9,99.9,99.9,NA
"405",1950-03-28,99.3,99.3,99.3,99.3,NA
"406",1950-03-29,98.51,98.51,98.51,98.51,NA
"407",1950-03-30,97.78,97.78,97.78,97.78,NA
"408",1950-03-31,97.61,97.61,97.61,97.61,NA
"409",1950-04-01,109.91,114.55,109.91,114.55,NA
"410",1950-04-03,94.86,94.86,94.86,94.86,NA
"411",1950-04-04,93.85,93.85,93.85,93.85,NA
"412",1950-04-05,93.95,93.95,93.95,93.95,NA
"413",1950-04-06,93.37,93.37,93.37,93.37,NA
"414",1950-04-07,92.39,92.39,92.39,92.39,NA
"415",1950-04-08,91.76,91.76,91.76,91.76,NA
"416",1950-04-10,90.97,90.97,90.97,90.97,NA
"417",1950-04-11,88.7,88.7,88.7,88.7,NA
"418",1950-04-12,91.69,91.69,91.69,91.69,NA
"419",1950-04-13,93,93,93,93,NA
"420",1950-04-14,95.52,95.52,95.52,95.52,NA
"421",1950-04-15,93.9,93.9,93.9,93.9,NA
"422",1950-04-17,93.04,93.04,93.04,93.04,NA
"423",1950-04-18,93.4,93.4,93.4,93.4,NA
"424",1950-04-19,93.23,93.23,93.23,93.23,NA
"425",1950-04-20,92.83,92.83,92.83,92.83,NA
"426",1950-04-21,92.56,92.56,92.56,92.56,NA
"427",1950-04-22,92.39,92.39,92.39,92.39,NA
"428",1950-04-24,92.59,92.59,92.59,92.59,NA
"429",1950-04-25,95.14,95.14,95.14,95.14,NA
"430",1950-04-26,96.96,96.96,96.96,96.96,NA
"431",1950-04-27,96.67,96.67,96.67,96.67,NA
"432",1950-04-28,99.31,99.31,99.31,99.31,NA
"433",1950-05-01,103.78,103.78,103.78,103.78,NA
"434",1950-05-02,103.01,103.01,103.01,103.01,NA
"435",1950-05-04,102.49,102.49,102.49,102.49,NA
"436",1950-05-06,101.38,101.38,101.38,101.38,NA
"437",1950-05-08,100.26,100.26,100.26,100.26,NA
"438",1950-05-09,98.72,98.72,98.72,98.72,NA
"439",1950-05-10,99.03,99.03,99.03,99.03,NA
"440",1950-05-11,98.55,98.55,98.55,98.55,NA
"441",1950-05-12,97.23,97.23,97.23,97.23,NA
"442",1950-05-13,97.31,97.31,97.31,97.31,NA
"443",1950-05-15,96.05,96.05,96.05,96.05,NA
"444",1950-05-16,95.16,95.16,95.16,95.16,NA
"445",1950-05-17,96.1,96.1,96.1,96.1,NA
"446",1950-05-18,96.02,96.02,96.02,96.02,NA
"447",1950-05-19,97.72,97.72,97.72,97.72,NA
"448",1950-05-20,98.47,98.47,98.47,98.47,NA
"449",1950-05-22,96.87,96.87,96.87,96.87,NA
"450",1950-05-23,95.78,95.78,95.78,95.78,NA
"451",1950-05-24,95.58,95.58,95.58,95.58,NA
"452",1950-05-25,94.87,94.87,94.87,94.87,NA
"453",1950-05-26,94.21,94.21,94.21,94.21,NA
"454",1950-05-27,94.34,94.34,94.34,94.34,NA
"455",1950-05-29,93.61,93.61,93.61,93.61,NA
"456",1950-05-30,93.97,93.97,93.97,93.97,NA
"457",1950-05-31,94.22,94.22,94.22,94.22,NA
"458",1950-06-01,94.22,94.22,94.22,94.22,NA
"459",1950-06-02,93.94,93.94,93.94,93.94,NA
"460",1950-06-03,94.32,94.32,94.32,94.32,NA
"461",1950-06-05,94.68,94.68,94.68,94.68,NA
"462",1950-06-06,94.12,94.12,94.12,94.12,NA
"463",1950-06-07,93.39,93.39,93.39,93.39,NA
"464",1950-06-08,92.74,92.74,92.74,92.74,NA
"465",1950-06-09,92.28,92.28,92.28,92.28,NA
"466",1950-06-10,92.26,92.26,92.26,92.26,NA
"467",1950-06-12,91.47,91.47,91.47,91.47,NA
"468",1950-06-13,90.22,90.22,90.22,90.22,NA
"469",1950-06-14,89.08,89.08,89.08,89.08,NA
"470",1950-06-15,89.22,89.22,89.22,89.22,NA
"471",1950-06-16,89.86,89.86,89.86,89.86,NA
"472",1950-06-17,89.72,89.72,89.72,89.72,NA
"473",1950-06-19,88.9,88.9,88.9,88.9,NA
"474",1950-06-20,88.9,88.9,88.9,88.9,NA
"475",1950-06-21,89.89,89.89,89.89,89.89,NA
"476",1950-06-22,90.03,90.03,90.03,90.03,NA
"477",1950-06-23,90.59,90.59,90.59,90.59,NA
"478",1950-06-24,91.94,91.94,91.94,91.94,NA
"479",1950-06-26,92.75,92.75,92.75,92.75,NA
"480",1950-06-27,90.84,90.84,90.84,90.84,NA
"481",1950-06-28,90.16,90.16,90.16,90.16,NA
"482",1950-06-29,88.95,88.95,88.95,88.95,NA
"483",1950-06-30,86.17,86.17,86.17,86.17,NA
"484",1950-07-01,86.19,86.19,86.19,86.19,NA
